measure,hazard,haz_type,x_ent,m_fut_cost,x_haz_today,x_haz_fut,ben_aai_Assets,bcr_aai_Assets,npv_aai_Assets,ben_rp250_Assets,bcr_rp250_Assets,npv_rp250_Assets,cost_Assets,approv,feas
Beach nourishment,TCs,TC,0.79765625,1.0737304000438654,2.58203125,3.35546875,4076880533.410118,2.197298189699743,155014919526.28378,-0.00023719895679091574,-1.278420679939302e-13,4441565904452.141,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.79765625,1.0737304000438654,3.19140625,2.76953125,4876013904.736176,2.628003552722643,168005918454.71652,-0.00023719895679091574,-1.278420679939302e-13,4441565904452.141,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.80546875,0.8868423441613812,1.52734375,1.19921875,7487128430.616214,4.8856811827136255,23732628750.86954,469089302633.5223,306.10143797149124,1711904724784.8335,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.80546875,0.9313166251425269,1.52734375,1.19921875,7487128430.616214,4.6523693832264765,23732628750.86954,469089302633.5223,291.4838084848562,1711904724784.8335,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.80546875,0.9313166251425269,1.52734375,2.67578125,4185481901.7816286,2.60078453767017,91597855178.4371,165038254860.3133,102.5518569754327,2568613912976.874,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.80546875,0.9313166251425269,2.79296875,1.19921875,8604986085.27686,5.346986388336473,88906470957.35428,304051047773.20874,188.93195150942333,3607811104657.83,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.81328125,0.8190107761519392,1.87890625,1.80859375,7938268162.977926,5.6090900396849985,86570073362.84552,139017120031.31476,98.2279166317337,3892580834590.5703,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.81328125,0.8190107761519392,1.87890625,2.16015625,7351583281.215939,5.194545171816684,99257983340.80518,139017120031.31476,98.2279166317337,3892580834590.5703,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.81328125,0.8190107761519392,2.11328125,2.16015625,8351942815.403669,5.901387846329131,112437052353.82376,106916844129.13792,75.54622660345225,4184001863169.876,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.81328125,1.1169536610207143,2.72265625,2.06640625,6599020554.558641,3.41901170031541,141396609777.6937,-0.0005693984435248197,-2.95010437451645e-13,4487474681247.6045,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.81328125,1.1503102943129275,3.51953125,2.65234375,4317882528.656694,2.1722613662113175,175261772178.06964,-0.0005693984435248197,-2.864557413595548e-13,4487474681247.6045,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.81328125,1.1809892238480608,1.87890625,2.16015625,7351583281.215939,3.6023939821090485,99257983340.80518,139017120031.31476,68.12062347039195,3892580834590.5703,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.82109375,1.039165587109259,3.30859375,3.54296875,2967097356.82371,1.6523547843995492,177717401770.35376,-0.0005693984435248197,-3.1709382242686977e-13,4510429069645.338,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.82109375,1.0789726519943266,2.51171875,1.64453125,9179584799.414248,4.923442417251533,115502056142.1478,-0.0005693984435248197,-3.053951252071864e-13,4510429069645.338,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.82890625,0.9068437169992886,1.59765625,3.05078125,3609550879.335484,2.3034404092144625,99679092424.59743,200308856488.0525,127.82740284937164,2746722771270.334,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.82890625,0.9068437169992886,2.11328125,1.01171875,8084559743.025825,5.1591741536062035,44573542283.193306,252228635128.28638,160.96008892454392,2525371197985.2725,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.82890625,0.9068437169992886,2.11328125,3.05078125,6197589260.908621,3.9550010570618888,129633657822.35379,108970962171.9651,69.53998602288587,4224080230396.124,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.82890625,0.9155584922624742,3.66015625,3.07421875,2143255899.959434,1.3547033180003145,185768920992.3267,-0.00023719895679091574,-1.4992806682438098e-13,4533383458043.069,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.82890625,1.0029378775744158,2.11328125,3.05078125,6197589260.908621,3.576061827474457,129633657822.35379,108970962171.9651,62.877173965735814,4224080230396.124,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.82890625,1.0287881432831012,1.55078125,2.86328125,4528890421.239517,2.5475465260278782,95275561847.16835,178381771892.07153,100.34154528427942,2634425732195.6113,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.83671875,0.923674695626743,3.87109375,1.48046875,7125845976.070917,4.464508422606808,137982929925.36285,98786480444.89569,61.89203014869238,4405409026604.963,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.83671875,1.0993815907860882,1.19921875,1.48046875,6632981132.463366,3.491536314710055,40764011828.87436,149327536244.12732,78.60455279011487,2043077977528.6846,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.83671875,1.0993815907860882,3.87109375,1.48046875,7125845976.070917,3.7509755420097366,137982929925.36285,98786480444.89569,52.00023594031428,4405409026604.963,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.83671875,1.0993815907860882,3.87109375,1.83203125,4349929398.335154,2.2897602386321783,161079283787.92752,9.500052994298834e-05,5.0007348670002523e-14,4556337846440.805,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.84453125,0.8190107761519392,1.87890625,2.16015625,7535720786.246513,5.324654639548747,100221480702.56256,144358796113.20923,102.00228422565208,3961539834995.834,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.84453125,1.1169536610207143,2.72265625,2.06640625,6734486525.841567,3.4891978343002426,144101247806.18292,-0.00023719895679091574,-1.2289490567058722e-13,4579292234838.536,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.84453125,1.1169536610207143,2.72265625,2.65234375,5179927842.667374,2.6837670461012553,157892293044.28888,-0.00023719895679091574,-1.2289490567058722e-13,4579292234838.536,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.84453125,1.1169536610207143,3.51953125,2.06640625,5979988668.50368,3.0982857313944385,164946704724.92838,-0.00023719895679091574,-1.2289490567058722e-13,4579292234838.536,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.84453125,1.1503102943129275,2.72265625,2.06640625,6734486525.841567,3.388018271517788,144101247806.18292,-0.00023719895679091574,-1.1933120609995663e-13,4579292234838.536,1728000000.0,2,0.15935113630024111
